DATETIME,optimal_position,reference_price,reference_contract,reference_date
2023-06-01 18:28:15.991984,-0.0967907196522948,350.75,20231200,2023-05-31
2023-06-01 20:07:39.317564,-0.0967907196522948,350.75,20231200,2023-05-31
2023-06-01 20:47:51.944025,-0.0967907196522948,350.75,20231200,2023-05-31
2023-06-02 20:47:51.327132,-0.1027771321789624,347.75,20231200,2023-06-01
2023-06-04 20:47:45.506930,-0.10279869464488794,347.75,20231200,2023-06-01
2023-06-05 15:50:04.521270,-0.11251657815806476,348.5,20231200,2023-06-02
2023-06-05 20:47:34.319721,-0.11251657815806475,348.5,20231200,2023-06-02
2023-06-06 20:46:55.231386,-0.12226518683642083,350.25,20231200,2023-06-05
2023-06-07 20:47:10.213936,-0.12226518683642083,350.25,20231200,2023-06-05
2023-06-08 20:46:59.713961,-0.11540663898293274,350.25,20231200,2023-06-05
2023-06-09 20:47:19.495048,-0.11540663898293275,350.25,20231200,2023-06-05
2023-06-14 20:58:55.583862,-0.11274610128039955,391.75,20231200,2023-06-14
2023-06-15 17:39:50.377673,-0.08536460741000494,411.75,20231200,2023-06-15
2023-06-18 16:10:36.554409,-0.08424168836936052,407.5,20231200,2023-06-16
2023-06-20 03:32:48.706464,-0.08424168836936052,407.5,20231200,2023-06-16
2023-06-21 03:31:00.053533,-0.11796241560759871,407.5,20231200,2023-06-16
2023-06-21 18:26:09.554906,-0.10645872403275437,414.25,20231200,2023-06-21
2023-06-22 18:21:06.009148,-0.10533914727847027,421.25,20231200,2023-06-22
