DATETIME,optimal_position,reference_price,reference_contract,reference_date
2023-06-01 18:28:19.809447,-3.778945167408802,19.35,20230800,2023-06-01
2023-06-01 20:07:43.293537,-3.778945167408802,19.35,20230800,2023-06-01
2023-06-01 20:47:55.821850,-3.778945167408802,19.35,20230800,2023-06-01
2023-06-02 20:47:55.204499,-3.7815471505479255,19.35,20230800,2023-06-01
2023-06-04 20:47:49.425780,-3.782340512649502,19.35,20230800,2023-06-01
2023-06-05 15:50:08.544897,-3.7984655909554688,18.9,20230800,2023-06-02
2023-06-05 20:47:38.167237,-3.798465590955467,18.9,20230800,2023-06-02
2023-06-06 20:46:59.083490,-3.779333712988378,18.65,20230800,2023-06-05
2023-06-07 20:47:14.177291,-3.779333712988378,18.65,20230800,2023-06-05
2023-06-08 20:47:03.658181,-3.5673294475427197,18.65,20230800,2023-06-05
2023-06-09 20:47:23.446910,-3.567329447542721,18.65,20230800,2023-06-05
2023-06-14 20:58:59.432556,-3.996314104361443,18.05,20230900,2023-06-14
2023-06-15 17:39:54.460413,-4.133011471190398,18.2,20230900,2023-06-15
2023-06-18 16:10:40.660116,-4.415904886222591,17.8,20230900,2023-06-16
