DATETIME,optimal_position,reference_price,reference_contract,reference_date
2023-06-01 18:28:13.489869,-0.005919518946579502,2.3184,20230900,2023-06-01
2023-06-01 20:07:36.699744,-0.005968181712648678,2.3184,20230900,2023-06-01
2023-06-01 20:47:49.541657,-0.005968181712648678,2.3184,20230900,2023-06-01
2023-06-02 20:47:48.855076,-0.0059722910166083425,2.3184,20230900,2023-06-01
2023-06-04 20:47:43.088183,-0.005973543993012848,2.3184,20230900,2023-06-01
2023-06-05 15:50:01.969040,-0.0030960455770749637,2.3672,20230900,2023-06-02
2023-06-05 20:47:31.883969,-0.0030960455770749637,2.3672,20230900,2023-06-02
2023-06-06 20:46:52.753633,-0.002091963945583204,2.3739,20230900,2023-06-05
2023-06-07 20:47:07.729081,-0.002091963945583204,2.3739,20230900,2023-06-05
2023-06-08 20:46:57.300318,-0.001974613821645225,2.3739,20230900,2023-06-05
2023-06-09 20:47:17.047230,-0.001974613821645225,2.3739,20230900,2023-06-05
2023-06-14 20:58:53.122170,-0.002842923433025589,2.3466,20230900,2023-06-14
2023-06-15 17:39:47.854730,0.005378677141467601,2.4458,20230900,2023-06-15
2023-06-18 16:10:34.111412,0.012725289502194533,2.489,20230900,2023-06-16
2023-06-20 03:32:46.387600,0.012725289502194533,2.489,20230900,2023-06-16
2023-06-21 03:30:57.676747,0.016885291824887644,2.489,20230900,2023-06-16
2023-06-21 18:26:07.202768,0.03062219893210266,2.4717,20230900,2023-06-21
2023-06-22 18:21:03.720433,0.030567500503618672,2.3917,20231000,2023-06-22
