DATETIME,optimal_position,reference_price,reference_contract,reference_date
2023-06-01 18:28:13.489869,-0.005919518946579502,2.3184,20230900,2023-06-01
2023-06-01 20:07:36.699744,-0.005968181712648678,2.3184,20230900,2023-06-01
2023-06-01 20:47:49.541657,-0.005968181712648678,2.3184,20230900,2023-06-01
2023-06-02 20:47:48.855076,-0.0059722910166083425,2.3184,20230900,2023-06-01
2023-06-04 20:47:43.088183,-0.005973543993012848,2.3184,20230900,2023-06-01
2023-06-05 15:50:01.969040,-0.0030960455770749637,2.3672,20230900,2023-06-02
2023-06-05 20:47:31.883969,-0.0030960455770749637,2.3672,20230900,2023-06-02
2023-06-06 20:46:52.753633,-0.002091963945583204,2.3739,20230900,2023-06-05
2023-06-07 20:47:07.729081,-0.002091963945583204,2.3739,20230900,2023-06-05
2023-06-08 20:46:57.300318,-0.001974613821645225,2.3739,20230900,2023-06-05
2023-06-09 20:47:17.047230,-0.001974613821645225,2.3739,20230900,2023-06-05
