DATETIME,key,trade,fill,fill_datetime,filled_price,locked,order_id,parent,children,active,order_type,algo_used,submit_datetime,limit_price,manual_fill,calendar_spread_order,side_price,mid_price,offside_price,algo_comment,broker,broker_account,broker_permid,broker_tempid,broker_clientid,commission,roll_order,leg_filled_price
2023-06-21 12:11:29.000,rob_system/GOLD_micro/20230800,[-1],[-1],2023-06-21 12:11:29.000,1942.9,0.0,2,8,,False,limit,sysexecution.algos.algo_original_best.algoOriginalBest,2023-06-21 12:11:24.717,1942.9,0.0,False,1942.7,1942.8000000000002,1942.9,"TradeLogEntry(time=datetime.datetime(2023, 6, 21, 16, 11, 24, 716563, tzinfo=datetime.timezone.utc), status='PendingSubmit', message='', errorCode=0) TradeLogEntry(time=datetime.datetime(2023, 6, 21, 16, 11, 25, 532171, tzinfo=datetime.timezone.utc), status='Submitted', message='', errorCode=0) TradeLogEntry(time=datetime.datetime(2023, 6, 21, 16, 11, 29, 986528, tzinfo=datetime.timezone.utc), status='Submitted', message='Fill 1.0@1942.9', errorCode=0) TradeLogEntry(time=datetime.datetime(2023, 6, 21, 16, 11, 29, 986528, tzinfo=datetime.timezone.utc), status='Filled', message='', errorCode=0)",IB,DU1382229,129159866.0,DU1382229/2/12,2.0,0.77,0.0,[1942.9]
2023-06-21 12:12:31.000,rob_system/GAS_US_mini/20230900,[-1],[-1],2023-06-21 12:12:31.000,2.625,0.0,3,9,,False,limit,sysexecution.algos.algo_original_best.algoOriginalBest,2023-06-21 12:11:31.658,2.63,0.0,False,2.625,2.6275,2.63,"TradeLogEntry(time=datetime.datetime(2023, 6, 21, 16, 11, 31, 658121, tzinfo=datetime.timezone.utc), status='PendingSubmit', message='', errorCode=0) TradeLogEntry(time=datetime.datetime(2023, 6, 21, 16, 11, 32, 431044, tzinfo=datetime.timezone.utc), status='Submitted', message='', errorCode=0) TradeLogEntry(time=datetime.datetime(2023, 6, 21, 16, 12, 31, 742219, tzinfo=datetime.timezone.utc), status='Submitted', message='Modify', errorCode=0) TradeLogEntry(time=datetime.datetime(2023, 6, 21, 16, 12, 31, 790487, tzinfo=datetime.timezone.utc), status='Submitted', message='Modified', errorCode=0) TradeLogEntry(time=datetime.datetime(2023, 6, 21, 16, 12, 31, 801623, tzinfo=datetime.timezone.utc), status='Submitted', message='Fill 1.0@2.625', errorCode=0) TradeLogEntry(time=datetime.datetime(2023, 6, 21, 16, 12, 31, 808501, tzinfo=datetime.timezone.utc), status='Filled', message='', errorCode=0)",IB,DU1382229,129159867.0,DU1382229/2/22,2.0,0.0,0.0,[2.625]
2023-06-21 12:12:33.000,rob_system/NASDAQ_micro/20230900,[1],[1],2023-06-21 12:12:33.000,15051.5,0.0,4,10,,False,limit,sysexecution.algos.algo_original_best.algoOriginalBest,2023-06-21 12:12:33.380,15051.5,0.0,False,15051.75,15051.625,15051.5,"TradeLogEntry(time=datetime.datetime(2023, 6, 21, 16, 12, 33, 380626, tzinfo=datetime.timezone.utc), status='PendingSubmit', message='', errorCode=0) TradeLogEntry(time=datetime.datetime(2023, 6, 21, 16, 12, 34, 122635, tzinfo=datetime.timezone.utc), status='Submitted', message='', errorCode=0) TradeLogEntry(time=datetime.datetime(2023, 6, 21, 16, 12, 34, 122635, tzinfo=datetime.timezone.utc), status='Submitted', message='Fill 1.0@15051.5', errorCode=0) TradeLogEntry(time=datetime.datetime(2023, 6, 21, 16, 12, 34, 122635, tzinfo=datetime.timezone.utc), status='Filled', message='', errorCode=0)",IB,DU1382229,129159868.0,DU1382229/2/32,2.0,0.62,0.0,[15051.5]
2023-06-21 12:12:45.000,rob_system/JPY/20230900,[-1],[-1],2023-06-21 12:12:45.000,0.007134,0.0,5,12,,False,limit,sysexecution.algos.algo_original_best.algoOriginalBest,2023-06-21 12:12:36.212,0.007135,0.0,False,0.0071345,0.0071347500000000005,0.007135,"TradeLogEntry(time=datetime.datetime(2023, 6, 21, 16, 12, 36, 212220, tzinfo=datetime.timezone.utc), status='PendingSubmit', message='', errorCode=0) TradeLogEntry(time=datetime.datetime(2023, 6, 21, 16, 12, 36, 975159, tzinfo=datetime.timezone.utc), status='Submitted', message='', errorCode=0) TradeLogEntry(time=datetime.datetime(2023, 6, 21, 16, 12, 45, 124364, tzinfo=datetime.timezone.utc), status='Submitted', message='Modify', errorCode=0) TradeLogEntry(time=datetime.datetime(2023, 6, 21, 16, 12, 45, 162470, tzinfo=datetime.timezone.utc), status='Submitted', message='Modified', errorCode=0) TradeLogEntry(time=datetime.datetime(2023, 6, 21, 16, 12, 45, 168259, tzinfo=datetime.timezone.utc), status='Submitted', message='Fill 1.0@0.007134', errorCode=0) TradeLogEntry(time=datetime.datetime(2023, 6, 21, 16, 12, 45, 179749, tzinfo=datetime.timezone.utc), status='Filled', message='', errorCode=0)",IB,DU1382229,129159869.0,DU1382229/2/45,2.0,2.47,0.0,[0.007134]
2023-06-21 15:36:31.564,rob_system/EUROSTX/20230900,[1],[1],2023-06-21 15:36:31.564,4430.0,0.0,6,15,,False,balance_trade,balance_trade,,,1.0,False,,,,,,DU1382229,,,,0.0,0.0,[]
2023-06-21 15:38:03.453,rob_system/CNH/20230700,[1],[1],2023-06-21 15:38:03.453,7.096,0.0,7,16,,False,balance_trade,balance_trade,,,1.0,False,,,,,,DU1382229,,,,0.0,0.0,[]
2023-06-21 15:38:39.347,rob_system/FTSETAIWAN/20230600,[1],[1],2023-06-21 15:38:39.347,1490.5,0.0,8,17,,False,balance_trade,balance_trade,,,1.0,False,,,,,,DU1382229,,,,0.0,0.0,[]
2023-06-21 15:39:06.774,rob_system/GAS_US_mini/20230900,[-2],[-2],2023-06-21 15:39:06.774,2.695,0.0,9,18,,False,balance_trade,balance_trade,,,1.0,False,,,,,,DU1382229,,,,0.0,0.0,[]
2023-06-21 15:40:25.743,rob_system/CNH/20230700,[-1],[-1],2023-06-21 15:40:25.743,7.096,0.0,10,19,,False,balance_trade,balance_trade,,,1.0,False,,,,,,DU1382229,,,,0.0,0.0,[]
2023-06-21 15:40:40.999,rob_system/EUROSTX/20230900,[-1],[-1],2023-06-21 15:40:40.999,4430.0,0.0,11,20,,False,balance_trade,balance_trade,,,1.0,False,,,,,,DU1382229,,,,0.0,0.0,[]
