DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-12-12 23:00:00,159.28,159.28,159.28,159.28,0.0
2022-12-13 23:00:00,158.82,158.82,158.82,158.82,0.0
2022-12-14 23:00:00,155.52,155.52,155.52,155.52,0.0
2022-12-15 23:00:00,153.42,153.42,153.42,153.42,0.0
2022-12-16 23:00:00,150.08,150.08,150.08,150.08,0.0
2022-12-19 23:00:00,147.88,147.88,147.88,147.88,0.0
2022-12-20 23:00:00,143.96,143.96,143.96,143.96,0.0
2022-12-21 23:00:00,143.64,143.64,143.64,143.64,0.0
2022-12-22 23:00:00,142.28,142.28,142.28,142.28,0.0
2022-12-23 23:00:00,141.74,141.74,141.74,141.74,0.0
2022-12-27 23:00:00,136.56,136.56,136.56,136.56,0.0
2022-12-28 23:00:00,136.56,136.56,136.56,136.56,0.0
2022-12-29 23:00:00,137.16,137.16,137.16,137.16,0.0
2022-12-30 23:00:00,133.66,133.66,133.66,133.66,0.0
2023-01-02 23:00:00,137.48,137.48,137.48,137.48,0.0
2023-01-03 23:00:00,140.12,140.12,140.12,140.12,0.0
2023-01-04 23:00:00,143.02,143.02,143.02,143.02,0.0
2023-01-05 23:00:00,141.72,141.72,141.72,141.72,0.0
2023-01-06 23:00:00,145.02,145.02,145.02,145.02,0.0
2023-01-09 23:00:00,143.94,143.94,143.94,143.94,0.0
2023-01-10 23:00:00,142.06,142.06,142.06,142.06,0.0
2023-01-11 23:00:00,145.66,145.66,145.66,145.66,0.0
2023-01-12 23:00:00,146.5,146.5,146.5,146.5,0.0
2023-01-13 23:00:00,145.84,145.84,145.84,145.84,0.0
2023-01-16 23:00:00,145.78,145.78,145.78,145.78,0.0
2023-01-17 23:00:00,147.54,147.54,147.54,147.54,0.0
2023-01-18 23:00:00,151.38,151.38,151.38,151.38,0.0
2023-01-19 23:00:00,149.96,149.96,149.96,149.96,0.0
2023-01-20 23:00:00,145.68,145.68,145.68,145.68,0.0
2023-01-23 23:00:00,144.82,144.82,144.82,144.82,0.0
2023-01-24 23:00:00,146.24,146.24,146.24,146.24,0.0
2023-01-25 23:00:00,145.58,145.58,145.58,145.58,0.0
2023-01-26 23:00:00,144.32,144.32,144.32,144.32,0.0
2023-01-27 23:00:00,143.9,143.9,143.9,143.9,0.0
2023-01-30 23:00:00,142.98,142.98,142.98,142.98,0.0
2023-01-31 23:00:00,142.42,142.42,142.42,142.42,0.0
2023-02-01 23:00:00,142.4,142.4,142.4,142.4,0.0
2023-02-02 23:00:00,147.96,147.96,147.96,147.96,0.0
2023-02-03 23:00:00,142.94,142.94,142.94,142.94,0.0
2023-02-06 23:00:00,141.62,141.62,141.62,141.62,0.0
2023-02-07 23:00:00,141.34,141.34,141.34,141.34,0.0
2023-02-08 23:00:00,139.94,139.94,139.94,139.94,0.0
2023-02-09 23:00:00,141.56,141.56,141.56,141.56,0.0
2023-02-10 23:00:00,139.86,139.86,139.86,139.86,0.0
2023-02-13 23:00:00,140.0,140.0,140.0,140.0,0.0
2023-02-14 23:00:00,138.86,138.86,138.86,138.86,0.0
2023-02-15 23:00:00,138.74,138.74,137.3,137.3,2.0
2023-02-16 23:00:00,136.66,136.66,136.66,136.66,0.0
2023-02-17 23:00:00,137.64,137.64,137.64,137.64,0.0
2023-02-20 23:00:00,137.74,137.74,137.74,137.74,0.0
2023-02-21 23:00:00,135.74,135.74,135.74,135.74,0.0
2023-02-22 23:00:00,136.02,136.02,136.02,136.02,0.0
2023-02-23 23:00:00,137.54,137.54,137.54,137.54,0.0
2023-02-24 23:00:00,136.42,136.42,136.42,136.42,0.0
2023-02-27 23:00:00,134.36,134.36,134.36,134.36,0.0
2023-02-28 23:00:00,132.7,132.7,132.7,132.7,0.0
2023-03-01 23:00:00,131.18,131.18,131.18,131.18,0.0
2023-03-02 23:00:00,130.54,130.54,130.54,130.54,0.0
2023-03-03 23:00:00,131.3,131.3,131.22,131.22,1.0
2023-03-06 23:00:00,132.06,132.06,132.06,132.06,0.0
2023-03-07 23:00:00,133.2,133.2,132.6,132.6,1.0
2023-03-08 23:00:00,135.38,135.38,135.38,135.38,0.0
2023-03-09 23:00:00,133.78,133.78,133.78,133.78,0.0
2023-03-10 23:00:00,138.02,138.02,138.02,138.02,0.0
2023-03-13 23:00:00,142.76,142.76,142.76,142.76,0.0
2023-03-14 23:00:00,138.16,138.16,138.16,138.16,0.0
2023-03-15 23:00:00,146.8,146.8,146.8,146.8,0.0
2023-03-16 23:00:00,145.0,145.0,143.48,143.48,1.0
2023-03-17 23:00:00,147.22,147.22,147.22,147.22,0.0
2023-03-20 23:00:00,147.0,147.0,145.86,145.86,1.0
2023-03-21 23:00:00,143.0,143.0,142.36,142.36,1.0
2023-03-22 23:00:00,142.0,142.0,141.28,141.28,1.0
2023-03-23 23:00:00,143.66,143.66,143.66,143.66,0.0
2023-03-24 23:00:00,145.28,145.28,145.28,145.28,0.0
2023-03-27 23:00:00,142.5,142.5,142.5,142.5,0.0
2023-03-28 23:00:00,140.28,140.28,140.28,140.28,0.0
2023-03-29 23:00:00,139.94,139.94,139.94,139.94,0.0
2023-03-30 23:00:00,138.5,139.3,138.5,139.3,1.0
2023-03-31 23:00:00,140.4,140.4,140.4,140.4,0.0
2023-04-03 23:00:00,142.54,142.54,142.54,142.54,0.0
2023-04-04 23:00:00,141.06,141.06,141.06,141.06,0.0
2023-04-05 23:00:00,143.2,143.2,143.2,143.2,0.0
2023-04-06 23:00:00,143.08,143.08,143.08,143.08,0.0
2023-04-11 23:00:00,139.96,139.96,139.96,139.96,0.0
2023-04-12 23:00:00,138.64,138.64,138.64,138.64,0.0
2023-04-13 07:00:00,137.7,137.7,137.7,137.7,1.0
2023-04-13 08:00:00,137.88,137.88,137.88,137.88,1.0
2023-04-13 09:00:00,137.88,137.88,137.88,137.88,0.0
2023-04-13 10:00:00,137.88,137.88,137.88,137.88,0.0
2023-04-13 11:00:00,137.88,137.88,137.88,137.88,0.0
2023-04-13 12:00:00,137.88,137.88,137.88,137.88,0.0
2023-04-13 13:00:00,137.88,137.88,137.88,137.88,0.0
2023-04-13 14:00:00,137.88,137.88,137.88,137.88,0.0
2023-04-13 15:00:00,137.88,137.88,137.88,137.88,0.0
2023-04-13 16:00:00,137.88,137.88,137.88,137.88,0.0
2023-04-13 23:00:00,137.7,138.0,137.7,138.0,2.0
2023-04-14 23:00:00,136.7,136.7,136.7,136.7,0.0
2023-04-17 06:00:00,135.86,136.0,135.86,136.0,3.0
2023-04-17 07:00:00,136.0,136.0,136.0,136.0,0.0
2023-04-17 08:00:00,136.0,136.0,136.0,136.0,0.0
2023-04-17 09:00:00,136.0,136.0,136.0,136.0,0.0
2023-04-17 10:00:00,135.0,135.0,135.0,135.0,1.0
2023-04-17 11:00:00,135.0,135.0,135.0,135.0,0.0
2023-04-17 12:00:00,135.0,135.0,135.0,135.0,0.0
2023-04-17 13:00:00,135.0,135.0,135.0,135.0,0.0
2023-04-17 14:00:00,135.0,135.0,135.0,135.0,0.0
2023-04-17 15:00:00,135.0,135.0,135.0,135.0,0.0
2023-04-17 16:00:00,135.0,135.0,135.0,135.0,0.0
2023-04-17 23:00:00,135.86,136.0,134.8,134.8,4.0
2023-04-18 03:00:00,134.52,134.52,134.52,134.52,1.0
2023-04-18 04:00:00,135.04,135.04,135.04,135.04,1.0
2023-04-18 05:00:00,135.12,135.12,135.12,135.12,1.0
2023-04-18 06:00:00,135.12,135.12,135.12,135.12,0.0
2023-04-18 07:00:00,135.12,135.12,135.12,135.12,0.0
2023-04-18 08:00:00,135.12,135.12,135.12,135.12,0.0
2023-04-18 09:00:00,135.12,135.12,135.12,135.12,0.0
2023-04-18 10:00:00,135.12,135.12,135.12,135.12,0.0
2023-04-18 11:00:00,135.12,135.12,135.12,135.12,0.0
2023-04-18 12:00:00,135.12,135.12,135.12,135.12,0.0
2023-04-18 13:00:00,135.12,135.12,135.12,135.12,0.0
2023-04-18 14:00:00,135.12,135.12,135.12,135.12,0.0
2023-04-18 15:00:00,135.12,135.12,135.12,135.12,0.0
2023-04-18 16:00:00,135.12,135.12,135.12,135.12,0.0
2023-04-18 23:00:00,134.52,135.74,134.52,135.74,3.0
2023-04-19 23:00:00,135.44,135.44,135.44,135.44,0.0
2023-04-20 12:00:00,136.64,136.64,136.64,136.64,1.0
2023-04-20 13:00:00,136.64,136.64,136.64,136.64,0.0
2023-04-20 14:00:00,136.64,136.64,136.64,136.64,0.0
2023-04-20 15:00:00,136.64,136.64,136.64,136.64,0.0
2023-04-20 16:00:00,136.64,136.64,136.64,136.64,0.0
2023-04-20 23:00:00,136.64,136.64,136.32,136.32,1.0
2023-04-21 23:00:00,135.12,135.12,135.12,135.12,0.0
2023-04-24 23:00:00,135.54,135.54,135.54,135.54,0.0
2023-04-25 23:00:00,138.36,138.36,138.36,138.36,0.0
2023-04-26 03:00:00,139.0,139.0,139.0,139.0,1.0
2023-04-26 04:00:00,139.0,139.0,139.0,139.0,0.0
2023-04-26 05:00:00,139.0,139.0,139.0,139.0,0.0
2023-04-26 06:00:00,139.0,139.0,139.0,139.0,0.0
2023-04-26 07:00:00,139.0,139.0,139.0,139.0,0.0
2023-04-26 08:00:00,139.0,139.0,139.0,139.0,0.0
2023-04-26 09:00:00,139.0,139.0,139.0,139.0,0.0
2023-04-26 10:00:00,139.0,139.0,139.0,139.0,0.0
2023-04-26 11:00:00,139.0,139.0,139.0,139.0,0.0
2023-04-26 12:00:00,139.0,139.0,139.0,139.0,0.0
2023-04-26 13:00:00,139.0,139.0,139.0,139.0,0.0
2023-04-26 14:00:00,139.0,139.0,139.0,139.0,0.0
2023-04-26 15:00:00,139.0,139.0,139.0,139.0,0.0
2023-04-26 16:00:00,139.0,139.0,139.0,139.0,0.0
2023-04-26 23:00:00,139.0,139.0,137.68,137.68,1.0
2023-04-27 02:00:00,136.4,136.7,136.4,136.7,2.0
2023-04-27 03:00:00,136.7,136.7,136.7,136.7,0.0
2023-04-27 04:00:00,136.7,136.7,136.7,136.7,0.0
2023-04-27 05:00:00,136.0,136.2,136.0,136.2,2.0
2023-04-27 06:00:00,136.2,136.2,136.2,136.2,0.0
2023-04-27 07:00:00,136.2,136.2,136.2,136.2,0.0
2023-04-27 08:00:00,136.2,136.2,136.2,136.2,0.0
2023-04-27 09:00:00,136.2,136.2,136.2,136.2,0.0
2023-04-27 10:00:00,136.2,136.2,136.2,136.2,0.0
2023-04-27 11:00:00,136.2,136.2,136.2,136.2,0.0
2023-04-27 12:00:00,136.2,136.2,136.2,136.2,0.0
2023-04-27 13:00:00,136.2,136.2,136.2,136.2,0.0
2023-04-27 14:00:00,136.2,136.2,136.2,136.2,0.0
2023-04-27 15:00:00,136.2,136.2,136.2,136.2,0.0
2023-04-27 16:00:00,136.2,136.2,136.2,136.2,0.0
2023-04-27 23:00:00,136.4,136.7,135.9,135.9,4.0
2023-04-28 23:00:00,139.2,139.2,139.2,139.2,0.0
2023-05-02 23:00:00,140.6,140.6,140.6,140.6,0.0
2023-05-03 23:00:00,140.84,140.84,140.84,140.84,0.0
2023-05-04 03:00:00,140.0,140.0,140.0,140.0,1.0
2023-05-04 09:00:00,138.7,139.4,138.7,139.4,2.0
2023-05-04 10:00:00,139.96,140.64,139.96,140.64,3.0
2023-05-04 15:00:00,140.22,140.22,140.22,140.22,1.0
2023-05-04 23:00:00,140.0,141.02,138.7,141.02,7.0
2023-05-05 06:00:00,138.86,138.86,138.86,138.86,1.0
2023-05-05 08:00:00,138.26,138.26,138.26,138.26,1.0
2023-05-05 23:00:00,138.86,138.86,138.26,138.28,2.0
2023-05-08 01:00:00,138.66,138.66,138.66,138.66,2.0
