DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-05-17 23:00:00,40.15,40.15,40.15,40.15,0.0
2022-05-18 23:00:00,40.15,40.15,40.15,40.15,0.0
2022-05-19 23:00:00,40.15,40.15,40.15,40.15,0.0
2022-05-20 23:00:00,40.15,40.15,40.15,40.15,0.0
2022-05-23 23:00:00,40.15,40.15,40.15,40.15,0.0
2022-05-24 23:00:00,40.15,40.15,40.15,40.15,0.0
2022-05-25 23:00:00,40.15,40.15,40.15,40.15,0.0
2022-05-26 23:00:00,40.15,40.15,40.15,40.15,0.0
2022-05-27 23:00:00,40.15,40.15,40.15,40.15,0.0
2022-05-31 23:00:00,40.15,40.15,40.15,40.15,0.0
2022-06-01 23:00:00,40.15,40.15,40.15,40.15,0.0
2022-06-02 23:00:00,40.15,40.15,40.15,40.15,0.0
2022-06-03 23:00:00,40.15,40.15,40.15,40.15,0.0
2022-06-06 23:00:00,40.15,40.15,40.15,40.15,0.0
2022-06-07 23:00:00,40.15,40.15,40.15,40.15,0.0
2022-06-08 23:00:00,40.15,40.15,40.15,40.15,0.0
2022-06-09 23:00:00,40.15,40.15,40.15,40.15,0.0
2022-06-10 23:00:00,40.15,40.15,40.15,40.15,0.0
2022-06-13 23:00:00,40.15,40.15,40.15,40.15,0.0
2022-06-14 23:00:00,40.15,40.15,40.15,40.15,0.0
2022-06-15 23:00:00,40.15,40.15,40.15,40.15,0.0
2022-06-16 23:00:00,40.15,40.15,40.15,40.15,0.0
2022-06-17 23:00:00,42.0,42.0,42.0,42.0,0.0
2022-06-21 23:00:00,42.0,42.0,42.0,42.0,0.0
2022-06-22 23:00:00,42.0,42.0,42.0,42.0,0.0
2022-06-23 23:00:00,43.0,43.0,43.0,43.0,0.0
2022-06-24 23:00:00,43.0,43.0,43.0,43.0,0.0
2022-06-27 23:00:00,44.0,44.0,44.0,44.0,0.0
2022-06-28 23:00:00,44.0,44.0,44.0,44.0,0.0
2022-06-29 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-06-30 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-07-01 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-07-05 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-07-06 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-07-07 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-07-08 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-07-11 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-07-12 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-07-13 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-07-14 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-07-15 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-07-18 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-07-19 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-07-20 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-07-21 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-07-22 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-07-25 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-07-26 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-07-27 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-07-28 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-07-29 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-08-01 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-08-02 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-08-03 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-08-04 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-08-05 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-08-08 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-08-09 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-08-10 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-08-11 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-08-12 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-08-15 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-08-16 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-08-17 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-08-18 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-08-19 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-08-22 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-08-23 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-08-24 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-08-25 23:00:00,45.0,45.0,45.0,45.0,0.0
2022-08-26 23:00:00,46.0,46.0,46.0,46.0,0.0
2022-08-29 23:00:00,46.0,46.0,46.0,46.0,0.0
2022-08-30 23:00:00,46.0,46.0,46.0,46.0,0.0
2022-08-31 23:00:00,46.0,46.0,46.0,46.0,0.0
2022-09-01 23:00:00,46.0,46.0,46.0,46.0,0.0
2022-09-02 23:00:00,46.0,46.0,46.0,46.0,0.0
2022-09-06 23:00:00,46.0,46.0,46.0,46.0,0.0
2022-09-07 23:00:00,46.0,46.0,46.0,46.0,0.0
2022-09-08 23:00:00,46.0,46.0,46.0,46.0,0.0
2022-09-09 23:00:00,46.0,46.0,46.0,46.0,0.0
2022-09-12 23:00:00,46.0,46.0,46.0,46.0,0.0
2022-09-13 23:00:00,46.0,46.0,46.0,46.0,0.0
2022-09-14 23:00:00,46.0,46.0,46.0,46.0,0.0
2022-09-15 23:00:00,46.0,46.0,46.0,46.0,0.0
2022-09-16 23:00:00,46.0,46.0,46.0,46.0,0.0
2022-09-19 23:00:00,46.0,46.0,46.0,46.0,0.0
2022-09-20 23:00:00,46.0,46.0,46.0,46.0,0.0
2022-09-21 23:00:00,46.0,46.0,46.0,46.0,0.0
2022-09-22 23:00:00,46.0,46.0,46.0,46.0,0.0
2022-09-23 23:00:00,46.0,46.0,46.0,46.0,0.0
2022-09-26 23:00:00,46.0,46.0,46.0,46.0,0.0
2022-09-27 23:00:00,46.0,46.0,46.0,46.0,0.0
2022-09-28 23:00:00,46.025,46.025,46.025,46.025,0.0
2022-09-29 23:00:00,46.025,46.025,46.025,46.025,0.0
2022-09-30 23:00:00,46.025,46.025,46.025,46.025,0.0
2022-10-03 23:00:00,46.025,46.025,46.025,46.025,0.0
2022-10-04 23:00:00,46.025,46.025,46.025,46.025,0.0
2022-10-05 23:00:00,46.025,46.025,46.025,46.025,0.0
2022-10-06 23:00:00,46.025,46.025,46.025,46.025,0.0
2022-10-07 23:00:00,46.025,46.025,46.025,46.025,0.0
2022-10-10 23:00:00,46.025,46.025,46.025,46.025,0.0
2022-10-11 23:00:00,46.025,46.025,46.025,46.025,0.0
2022-10-12 23:00:00,46.025,46.025,46.025,46.025,0.0
2022-10-13 23:00:00,46.025,46.025,46.025,46.025,0.0
2022-10-14 23:00:00,46.025,46.025,46.025,46.025,0.0
2022-10-17 23:00:00,46.025,46.025,46.025,46.025,0.0
