DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2023-03-14 23:00:00,1.1168,1.1168,1.1168,1.1168,0.0
2023-03-15 23:00:00,1.0987,1.0987,1.0987,1.0987,0.0
2023-03-16 23:00:00,1.097,1.097,1.097,1.097,0.0
2023-03-17 23:00:00,1.1019,1.1019,1.1019,1.1019,0.0
2023-03-20 23:00:00,1.0989,1.0989,1.0989,1.0989,0.0
2023-03-21 23:00:00,1.1041,1.1058,1.1041,1.1048,2.0
2023-03-22 23:00:00,1.1065,1.113,1.1065,1.1115,43.0
2023-03-23 23:00:00,1.1115,1.1115,1.1115,1.1115,0.0
2023-03-24 23:00:00,1.1071,1.1071,1.1071,1.1071,0.0
2023-03-27 23:00:00,1.1117,1.1117,1.1117,1.1117,0.0
2023-03-28 23:00:00,1.1074,1.1074,1.1074,1.1074,0.0
2023-03-29 23:00:00,1.1077,1.1077,1.1077,1.1077,0.0
2023-03-30 23:00:00,1.1135,1.1135,1.1135,1.1135,0.0
2023-03-31 23:00:00,1.1153,1.1153,1.1123,1.113,3.0
2023-04-03 23:00:00,1.1145,1.1145,1.1145,1.1145,0.0
2023-04-04 09:30:00,1.1175,1.1175,1.1175,1.1175,0.0
2023-04-04 10:00:00,1.118,1.1208,1.118,1.1208,18.0
2023-04-04 11:00:00,1.121,1.121,1.121,1.121,5.0
2023-04-04 12:00:00,1.1219,1.1225,1.1219,1.1225,7.0
2023-04-04 13:00:00,1.1225,1.1225,1.1225,1.1225,0.0
2023-04-04 14:00:00,1.1225,1.1225,1.1225,1.1225,0.0
2023-04-04 15:00:00,1.1225,1.1225,1.1225,1.1225,0.0
2023-04-04 16:00:00,1.1225,1.1225,1.1225,1.1225,0.0
2023-04-04 23:00:00,1.118,1.1231,1.118,1.1231,30.0
2023-04-05 09:30:00,1.126,1.126,1.126,1.126,0.0
2023-04-05 10:00:00,1.1263,1.128,1.1263,1.128,12.0
2023-04-05 11:00:00,1.128,1.128,1.128,1.128,0.0
2023-04-05 12:00:00,1.128,1.128,1.128,1.128,0.0
2023-04-05 13:00:00,1.128,1.128,1.128,1.128,0.0
2023-04-05 14:00:00,1.128,1.128,1.128,1.128,0.0
2023-04-05 15:00:00,1.128,1.128,1.128,1.128,0.0
2023-04-05 16:00:00,1.128,1.128,1.128,1.128,0.0
