DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-04-26 23:00:00,0.18005,0.18005,0.18005,0.18005,0.0
2022-04-27 23:00:00,0.1811,0.1811,0.1811,0.1811,0.0
2022-04-28 23:00:00,0.1809,0.1809,0.1809,0.1809,0.0
2022-04-29 23:00:00,0.182,0.182,0.182,0.182,0.0
2022-05-02 23:00:00,0.17695,0.17695,0.17695,0.17695,0.0
2022-05-03 23:00:00,0.18125,0.18125,0.18125,0.18125,0.0
2022-05-04 23:00:00,0.18295,0.18295,0.18295,0.18295,0.0
2022-05-05 23:00:00,0.1791,0.1791,0.1791,0.1791,0.0
2022-05-06 23:00:00,0.17725,0.17725,0.17725,0.17725,0.0
2022-05-09 23:00:00,0.17485,0.17485,0.17485,0.17485,0.0
2022-05-10 23:00:00,0.1755,0.1755,0.1755,0.1755,0.0
2022-05-11 23:00:00,0.17525,0.17525,0.17525,0.17525,0.0
2022-05-12 23:00:00,0.17425,0.17425,0.17425,0.17425,0.0
2022-05-13 23:00:00,0.178,0.178,0.178,0.178,0.0
2022-05-16 23:00:00,0.1786,0.1786,0.1786,0.1786,0.0
2022-05-17 23:00:00,0.1825,0.1825,0.1825,0.1825,0.0
2022-05-18 23:00:00,0.18105,0.18105,0.18105,0.18105,0.0
2022-05-19 23:00:00,0.1847,0.1847,0.1847,0.1847,0.0
2022-05-20 23:00:00,0.186,0.186,0.186,0.186,0.0
2022-05-23 23:00:00,0.18825,0.18825,0.18825,0.18825,0.0
2022-05-24 23:00:00,0.18735,0.18735,0.18735,0.18735,0.0
2022-05-25 23:00:00,0.1877,0.1877,0.1877,0.1877,0.0
2022-05-26 23:00:00,0.1902,0.1902,0.1902,0.1902,0.0
2022-05-27 23:00:00,0.19075,0.19075,0.19075,0.19075,0.0
2022-05-31 23:00:00,0.19055,0.19055,0.19055,0.19055,0.0
2022-06-01 23:00:00,0.1892,0.1892,0.1892,0.1892,0.0
2022-06-02 23:00:00,0.1892,0.1892,0.1892,0.1892,0.0
2022-06-03 23:00:00,0.1896,0.1896,0.1896,0.1896,0.0
2022-06-06 23:00:00,0.18905,0.18905,0.18905,0.18905,0.0
2022-06-07 23:00:00,0.18645,0.18645,0.18645,0.18645,0.0
2022-06-08 23:00:00,0.1859,0.1859,0.1859,0.1859,0.0
2022-06-09 23:00:00,0.18575,0.18575,0.18575,0.18575,0.0
2022-06-10 23:00:00,0.18315,0.18315,0.18315,0.18315,0.0
2022-06-13 23:00:00,0.1787,0.1787,0.1787,0.1787,0.0
2022-06-14 23:00:00,0.1776,0.1776,0.1776,0.1776,0.0
2022-06-15 23:00:00,0.1804,0.1804,0.1804,0.1804,0.0
2022-06-16 23:00:00,0.1811,0.1811,0.1811,0.1811,0.0
2022-06-17 23:00:00,0.17815,0.17815,0.17815,0.17815,0.0
2022-06-21 23:00:00,0.17795,0.17795,0.17795,0.17795,0.0
2022-06-22 23:00:00,0.17775,0.17775,0.17775,0.17775,0.0
2022-06-23 23:00:00,0.17545,0.17545,0.17545,0.17545,0.0
2022-06-24 23:00:00,0.1741,0.1741,0.1741,0.1741,0.0
2022-06-27 23:00:00,0.1754,0.1754,0.1754,0.1754,0.0
2022-06-28 23:00:00,0.1736,0.1736,0.1736,0.1736,0.0
2022-06-29 23:00:00,0.1759,0.1759,0.1759,0.1759,0.0
2022-06-30 23:00:00,0.17515,0.17515,0.17515,0.17515,0.0
2022-07-01 23:00:00,0.1724,0.1724,0.1724,0.1724,0.0
2022-07-04 23:00:00,0.1724,0.1724,0.1724,0.1724,0.0
2022-07-05 23:00:00,0.16935,0.16935,0.16935,0.16935,0.0
2022-07-06 23:00:00,0.16885,0.16885,0.16885,0.16885,0.0
