DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-04 23:00:00,5.211,5.211,5.211,5.211,0.0
2022-05-05 23:00:00,5.263,5.263,5.263,5.263,0.0
2022-05-06 23:00:00,5.152,5.152,5.152,5.152,0.0
2022-05-09 23:00:00,4.875,4.875,4.875,4.875,0.0
2022-05-10 23:00:00,4.953,4.953,4.953,4.953,0.0
2022-05-11 23:00:00,5.008,5.008,5.008,5.008,0.0
2022-05-12 23:00:00,5.005,5.005,5.005,5.005,0.0
2022-05-13 23:00:00,5.029,5.029,5.029,5.029,0.0
2022-05-16 23:00:00,5.093,5.093,5.093,5.093,0.0
2022-05-17 23:00:00,5.195,5.195,5.195,5.195,0.0
2022-05-18 23:00:00,5.258,5.258,5.258,5.258,0.0
2022-05-19 23:00:00,5.211,5.211,5.211,5.211,0.0
2022-05-20 23:00:00,5.186,5.186,5.186,5.186,0.0
2022-05-23 23:00:00,5.302,5.302,5.302,5.302,0.0
2022-05-24 23:00:00,5.363,5.363,5.363,5.363,0.0
2022-05-25 23:00:00,5.415,5.415,5.415,5.415,0.0
2022-05-26 23:00:00,5.432,5.432,5.432,5.432,0.0
2022-05-27 23:00:00,5.436,5.436,5.436,5.436,0.0
2022-05-31 23:00:00,5.396,5.396,5.396,5.396,0.0
2022-06-01 23:00:00,5.582,5.582,5.582,5.582,0.0
2022-06-02 23:00:00,5.607,5.607,5.607,5.607,0.0
2022-06-03 23:00:00,5.717,5.717,5.717,5.717,0.0
2022-06-06 23:00:00,5.953,5.953,5.953,5.953,0.0
2022-06-07 23:00:00,6.041,6.041,6.041,6.041,0.0
2022-06-08 23:00:00,6.072,6.072,6.072,6.072,0.0
2022-06-09 23:00:00,6.246,6.246,6.246,6.246,0.0
2022-06-10 23:00:00,6.294,6.294,6.294,6.294,0.0
2022-06-13 23:00:00,6.261,6.261,6.261,6.261,0.0
2022-06-14 23:00:00,6.043,6.043,6.043,6.043,0.0
2022-06-15 23:00:00,6.054,6.054,6.054,6.054,0.0
2022-06-16 23:00:00,5.846,5.846,5.846,5.846,0.0
2022-06-17 23:00:00,5.45,5.45,5.45,5.45,0.0
2022-06-21 23:00:00,5.347,5.347,5.347,5.347,0.0
2022-06-22 23:00:00,5.371,5.371,5.371,5.371,0.0
2022-06-23 23:00:00,5.323,5.323,5.323,5.323,0.0
2022-06-24 23:00:00,5.173,5.173,5.173,5.173,0.0
2022-06-27 23:00:00,5.182,5.182,5.182,5.182,0.0
2022-06-28 23:00:00,5.165,5.165,5.165,5.165,0.0
2022-06-29 23:00:00,5.193,5.193,5.193,5.193,0.0
2022-06-30 23:00:00,4.877,4.877,4.877,4.877,0.0
2022-07-01 23:00:00,4.883,4.883,4.883,4.883,0.0
2022-07-05 23:00:00,4.787,4.787,4.787,4.787,0.0
2022-07-06 23:00:00,4.815,4.815,4.815,4.815,0.0
2022-07-07 23:00:00,5.056,5.056,5.056,5.056,0.0
2022-07-08 23:00:00,5.024,5.024,5.024,5.024,0.0
2022-07-11 23:00:00,5.086,5.086,5.086,5.086,0.0
2022-07-12 23:00:00,5.016,5.016,5.016,5.016,0.0
2022-07-13 23:00:00,5.17,5.17,5.17,5.17,0.0
2022-07-14 23:00:00,5.128,5.128,5.128,5.128,0.0
2022-07-15 23:00:00,5.22,5.22,5.22,5.22,0.0
2022-07-18 23:00:00,5.317,5.317,5.317,5.317,0.0
2022-07-19 23:00:00,5.246,5.246,5.246,5.246,0.0
2022-07-20 23:00:00,5.438,5.438,5.438,5.438,0.0
2022-07-21 23:00:00,5.338,5.338,5.338,5.338,0.0
2022-07-22 23:00:00,5.389,5.389,5.389,5.389,0.0
2022-07-25 23:00:00,5.489,5.489,5.489,5.489,0.0
2022-07-26 23:00:00,5.493,5.493,5.493,5.493,0.0
2022-07-27 23:00:00,5.396,5.396,5.396,5.396,0.0
2022-07-28 23:00:00,5.33,5.33,5.33,5.33,0.0
2022-07-29 23:00:00,5.293,5.293,5.293,5.293,0.0
2022-08-01 23:00:00,5.314,5.314,5.314,5.314,0.0
2022-08-02 23:00:00,5.17,5.17,5.17,5.17,0.0
2022-08-03 23:00:00,5.319,5.319,5.319,5.319,0.0
2022-08-04 23:00:00,5.292,5.292,5.292,5.292,0.0
2022-08-05 23:00:00,5.299,5.299,5.299,5.299,0.0
2022-08-08 23:00:00,5.225,5.225,5.225,5.225,0.0
2022-08-09 23:00:00,5.28,5.28,5.28,5.28,0.0
2022-08-16 23:00:00,5.866,5.866,5.866,5.866,0.0
2022-08-17 23:00:00,5.863,5.863,5.863,5.863,0.0
2022-08-18 23:00:00,5.904,5.904,5.904,5.904,0.0
2022-08-19 23:00:00,5.889,5.889,5.889,5.889,0.0
2022-08-22 23:00:00,5.98,5.98,5.98,5.98,0.0
2022-08-23 23:00:00,5.948,5.948,5.948,5.948,0.0
2022-08-24 23:00:00,5.965,5.965,5.965,5.965,0.0
2022-08-25 23:00:00,6.049,6.049,6.049,6.049,0.0
2022-08-26 23:00:00,6.094,6.094,6.094,6.094,0.0
2022-08-29 23:00:00,6.196,6.196,6.196,6.196,0.0
2022-08-30 23:00:00,6.171,6.171,6.171,6.171,0.0
2022-08-31 23:00:00,6.198,6.198,6.198,6.198,0.0
2022-09-01 23:00:00,6.27,6.27,6.27,6.27,0.0
2022-09-02 23:00:00,6.228,6.228,6.228,6.228,0.0
2022-09-06 23:00:00,6.08,6.08,6.08,6.08,0.0
2022-09-07 23:00:00,5.771,5.771,5.771,5.771,0.0
2022-09-08 23:00:00,5.756,5.756,5.756,5.756,0.0
2022-09-09 23:00:00,5.824,5.824,5.824,5.824,0.0
2022-09-12 23:00:00,5.893,5.893,5.893,5.893,0.0
2022-09-13 23:00:00,5.934,5.934,5.934,5.934,0.0
2022-09-14 23:00:00,6.209,6.209,6.209,6.209,0.0
2022-09-15 23:00:00,6.117,6.117,6.117,6.117,0.0
2022-09-16 23:00:00,5.961,5.961,5.961,5.961,0.0
2022-09-19 23:00:00,5.902,5.902,5.902,5.902,0.0
2022-09-20 23:00:00,5.768,5.768,5.768,5.768,0.0
2022-09-21 23:00:00,5.7,5.7,5.7,5.7,0.0
2022-09-22 23:00:00,5.528,5.528,5.528,5.528,0.0
